1,1,1018.0,517.0,39.0,79.0,1,2,1.0
1,2,175.0,568.0,42.0,90.0,1,2,1.0
1,3,921.0,601.0,42.0,84.0,1,2,1.0
1,4,562.0,551.0,38.0,82.0,1,2,1.0
1,5,1659.0,795.0,49.0,111.0,1,2,1.0
1,6,1701.0,467.0,33.0,78.0,1,2,1.0
1,7,872.0,643.0,26.0,93.0,1,2,1.0
1,8,564.0,394.0,25.0,75.0,1,2,1.0
1,9,1326.0,203.0,20.0,52.0,1,2,1.0
1,10,1204.0,394.0,20.0,77.0,1,2,1.0
1,11,318.0,359.0,32.0,68.0,1,2,1.0
1,12,218.0,461.0,32.0,83.0,1,2,1.0
1,13,1617.0,302.0,28.0,60.0,1,2,1.0
1,14,435.0,265.0,24.0,57.0,1,2,1.0
1,15,1061.0,316.0,23.0,60.0,1,2,1.0
1,16,813.0,314.0,18.0,65.0,1,2,1.0
1,17,472.0,675.0,42.0,97.0,1,2,1.0
1,18,952.0,208.0,23.0,52.0,1,2,1.0
1,19,740.0,264.0,19.0,57.0,1,2,1.0
1,20,497.0,170.0,19.0,47.0,1,2,1.0
1,21,843.0,515.0,24.0,88.0,1,2,1.0
1,22,904.0,393.0,18.0,74.0,1,2,1.0
1,23,931.6,456.7,9.199999999999932,9.100000000000023,1,1,1.0
2,1,1018.0,517.0,39.0,79.0,1,2,1.0
2,2,175.0,568.0,42.0,90.0,1,2,1.0
2,3,921.0,601.0,42.0,84.0,1,2,1.0
2,4,562.0,551.0,38.0,82.0,1,2,1.0
2,5,1659.0,795.0,49.0,111.0,1,2,1.0
2,6,1701.0,467.0,33.0,78.0,1,2,1.0
2,7,872.0,643.0,26.0,93.0,1,2,1.0
2,8,564.0,394.0,25.0,74.0,1,2,1.0
2,9,1326.0,203.0,20.0,52.0,1,2,1.0
2,10,1204.0,394.0,20.0,77.0,1,2,1.0
2,11,318.0,359.0,32.0,68.0,1,2,1.0
2,12,218.0,461.0,32.0,83.0,1,2,1.0
2,13,1617.0,302.0,28.0,60.0,1,2,1.0
2,14,435.0,265.0,24.0,57.0,1,2,1.0
2,15,1061.0,316.0,23.0,60.0,1,2,1.0
2,16,813.0,314.0,18.0,65.0,1,2,1.0
2,17,472.0,675.0,42.0,97.0,1,2,1.0
2,18,952.0,208.0,23.0,52.0,1,2,1.0
2,19,740.0,264.0,19.0,57.0,1,2,1.0
2,20,497.0,170.0,19.0,47.0,1,2,1.0
2,21,843.0,515.0,24.0,88.0,1,2,1.0
2,22,904.0,393.0,18.0,74.0,1,2,1.0
2,23,931.0,455.0,11.0,12.0,1,1,1.0
3,1,1018.0,518.0,32.0,79.0,1,2,1.0
3,2,175.0,568.0,42.0,91.0,1,2,1.0
3,3,921.0,601.0,42.0,84.0,1,2,1.0
3,4,562.0,551.0,38.0,82.0,1,2,1.0
3,5,1659.0,795.0,49.0,111.0,1,2,1.0
3,6,1701.0,467.0,32.0,78.0,1,2,1.0
3,7,871.0,643.0,27.0,93.0,1,2,1.0
3,8,564.0,394.0,25.0,74.0,1,2,1.0
3,9,1326.0,203.0,20.0,51.0,1,2,1.0
3,10,1204.0,395.0,20.0,76.0,1,2,1.0
3,11,318.0,359.0,32.0,68.0,1,2,1.0
3,12,217.0,461.0,33.0,83.0,1,2,1.0
3,13,1618.0,302.0,28.0,60.0,1,2,1.0
3,14,435.0,265.0,24.0,57.0,1,2,1.0
3,15,1061.0,316.0,23.0,60.0,1,2,1.0
3,16,813.0,314.0,18.0,65.0,1,2,1.0
3,17,473.0,675.0,41.0,97.0,1,2,1.0
3,18,953.0,208.0,22.0,52.0,1,2,1.0
3,19,739.0,264.0,20.0,57.0,1,2,1.0
3,20,497.0,170.0,19.0,47.0,1,2,1.0
3,21,843.0,515.0,24.0,88.0,1,2,1.0
3,22,904.0,393.0,19.0,73.0,1,2,1.0
3,23,931.0,455.0,11.0,12.0,1,1,1.0
4,1,1018.0,519.0,28.0,79.0,1,2,1.0
4,2,175.0,568.0,42.0,91.0,1,2,1.0
4,3,921.0,601.0,42.0,84.0,1,2,1.0
